Lead ID,Customer ID,Product Name,Purchase Date,Purchase Price (INR)
L001,9876543210,Ergonomic Chair X,2024-03-15,12000
L002,9876543211,Bose Headset 700,2024-03-20,15000
L003,9876543212,Laptop Pro 15,2024-04-01,65000
L004,9876543213,Wireless Keyboard Z,2024-04-05,3000
L005,9876543214,Smart Lock Plus,2024-04-10,8000
L006,9876543215,Conference Speaker X,2024-04-12,7000
L007,9876543216,Tablet Air,2024-04-18,25000
L008,9876543217,UPS Backup 500VA,2024-04-25,5000
L009,9876543218,Desk Riser,2024-05-01,4500
L010,9876543219,WiFi Extender Max,2024-05-03,3500
L011,9876543220,Cooling Pad Pro,2024-05-08,2000
L012,9876543221,Team Hub,2024-05-15,15000
L013,9876543222,Blue Light Filter Glasses,2024-05-20,2500
L014,9876543223,Speakerphone 300,2024-05-22,10000
L015,9876543224,Laptop Basic 14,2024-05-28,35000
L016,9876543225,Employee Starter Kit,2024-06-01,12000
L017,9876543226,Office Partition Panels,2024-06-05,6000
L018,9876543227,VPN Service Pro,2024-06-08,4000
L019,9876543228,Portable Docking Station,2024-06-12,4500
L020,9876543229,Universal Adapter,2024-06-15,1500